,onset,description
162,54.0871322663487,FixationCovertVowel:U
163,54.08977408918679,CovertStartStimulus
164,54.83704510626637,CovertEndStimulus
165,54.83711532440509,TargetCovertVowelSilencio
166,54.83713318769412,CovertSilence
167,54.8371750723735,CovertStartISI
168,55.820388707287634,CovertEndISI
169,55.82045646238646,ISICovertVowelSilencio
170,55.820498655070764,CovertStartSpeech
171,57.32048201746227,CovertEndSpeech
172,57.32055623966505,SpeechCovertVowelSilencio
173,57.320593504269596,CovertStartITI
174,57.82036755015986,CovertEndITI
175,57.82043592126854,ITICovertVowelSilencio
176,57.82094069445327,CovertStartFixation
177,58.637095883497636,CovertEndFixation
178,58.63716610263589,FixationCovertVowel:Silencio
179,58.639190739465334,CovertStartStimulus
180,59.38726495956951,CovertEndStimulus
181,59.38733548571315,TargetCovertVowelE
182,59.3873548880282,CovertVowelE
183,59.387398620736235,CovertStartISI
184,59.95380553108578,CovertEndISI
185,59.95387821326483,ISICovertVowelE
186,59.95392317799349,CovertStartSpeech
187,61.45374577577775,CovertEndSpeech
188,61.453815070901214,SpeechCovertVowelE
189,61.45384987246587,CovertStartITI
190,61.953958687783484,CovertEndITI
191,61.95403352699748,ITICovertVowelE
192,61.95457310174686,CovertStartFixation
193,62.48699542403199,CovertEndFixation
194,62.48706441115053,FixationCovertVowel:E
195,62.48903238006085,CovertStartStimulus
196,63.23718574944894,CovertEndStimulus
197,63.23725997265217,TargetCovertVowelO
198,63.23728984613706,CovertVowelO
199,63.23734343400508,CovertStartISI
200,63.870466977171304,CovertEndISI
201,63.87053966034989,ISICovertVowelO
202,63.87058062101357,CovertStartSpeech
203,65.37062003431481,CovertEndSpeech
204,65.37065267984406,SpeechCovertVowelO
205,65.37069918459827,CovertStartITI
206,65.87055761585532,CovertEndITI
207,65.87058594931466,ITICovertVowelO
208,65.87118619604814,CovertStartFixation
209,66.77038723868998,CovertEndFixation
210,66.770458073839,FixationCovertVowel:O
211,66.77238354206008,CovertStartStimulus
212,67.52061821776522,CovertEndStimulus
213,67.52064254816003,TargetCovertVowelU
214,67.5206742696754,CovertVowelU
215,67.52072908956404,CovertStartISI
216,68.03719391909624,CovertEndISI
217,68.0372699893295,ISICovertVowelU
218,68.03732357719934,CovertStartSpeech
219,69.53707996090986,CovertEndSpeech
220,69.537152643088,SpeechCovertVowelU
221,69.53718559662218,CovertStartITI
222,70.03699444407619,CovertEndITI
223,70.03701846646607,ITICovertVowelU
224,70.03754910907071,CovertStartFixation
225,71.02053299425995,CovertEndFixation
226,71.02060814047752,FixationCovertVowel:U
227,71.0226183030735,CovertStartStimulus
228,71.77068359103203,CovertEndStimulus
229,71.77076120129084,TargetCovertVowelE
230,71.77079015076004,CovertVowelE
231,71.7708440466339,CovertStartISI
232,72.72053968004991,CovertEndISI
233,72.72061944534369,ISICovertVowelE
234,72.7206739572274,CovertStartSpeech
235,74.22045313130809,CovertEndSpeech
236,74.22052488947145,SpeechCovertVowelE
237,74.2205575350007,CovertStartITI
238,74.72035868232967,CovertEndITI
239,74.72042920947376,ITICovertVowelE
240,74.72091088428431,CovertStartFixation
241,75.55365645834343,CovertEndFixation
242,75.55368078773779,FixationCovertVowel:E
243,75.5560118615366,CovertStartStimulus
244,76.30375469926719,CovertEndStimulus
245,76.30378734479643,TargetCovertVowelA
246,76.30380520708593,CovertVowelA
247,76.30384401171511,CovertStartISI
248,77.02042301811969,CovertEndISI
249,77.02049108122435,ISICovertVowelA
250,77.02052896283828,CovertStartSpeech
251,78.52041715968687,CovertEndSpeech
252,78.52048984186501,SpeechCovertVowelA
253,78.52052156337948,CovertStartITI
254,79.02053275111473,CovertEndITI
255,79.0206057412978,ITICovertVowelA
256,79.02116163931157,CovertStartFixation
257,79.63721158362739,CovertEndFixation
258,79.63729227293686,FixationCovertVowel:A
259,79.63930089550638,CovertStartStimulus
260,80.38750477371275,CovertEndStimulus
261,80.38753125914161,TargetCovertVowelU
262,80.387563288661,CovertVowelU
263,80.38761656952545,CovertStartISI
264,81.28706645720183,CovertEndISI
265,81.28714283544002,ISICovertVowelU
266,81.2871979633345,CovertStartSpeech
267,82.78709324429735,CovertEndSpeech
268,82.78716623448133,SpeechCovertVowelU
269,82.78719826399981,CovertStartITI
270,83.28722916205413,CovertEndITI
271,83.28730153622826,ITICovertVowelU
272,83.28782940778808,CovertStartFixation
273,84.05398769812734,CovertEndFixation
274,84.0540705434704,FixationCovertVowel:U
275,84.05615770031352,CovertStartStimulus
276,84.8037480885722,CovertEndStimulus
277,84.80381830771046,TargetCovertVowelO
278,84.80383863404029,CovertVowelO
279,84.80388144273445,CovertStartISI
280,85.3873967524977,CovertEndISI
281,85.38747775081072,ISICovertVowelO
282,85.38753103067472,CovertStartSpeech
283,86.88759477436895,CovertEndSpeech
284,86.88767454066317,SpeechCovertVowelO
285,86.88772135342231,CovertStartITI
286,87.38753481995161,CovertEndITI
287,87.38761058217995,ITICovertVowelO
288,87.38814830889885,CovertStartFixation
289,88.2037925646581,CovertEndFixation
290,88.2038652478376,FixationCovertVowel:O
291,88.20620124871573,CovertStartStimulus
292,88.95385785204769,CovertEndStimulus
293,88.95393145924015,TargetCovertVowelU
294,88.95395270958568,CovertVowelU
295,88.95399705730495,CovertStartISI
296,89.67043131536309,CovertEndISI
297,89.67050122549688,ISICovertVowelU
298,89.67054064713545,CovertStartSpeech
299,91.1704263799437,CovertEndSpeech
300,91.17045132634837,SpeechCovertVowelU
301,91.17048612791302,CovertStartITI
302,91.67066916643478,CovertEndITI
303,91.67075324379846,ITICovertVowelU
304,91.67127526426236,CovertStartFixation
305,92.60370265567315,CovertEndFixation
306,92.60373037412216,FixationCovertVowel:U
307,92.6056847928138,CovertStartStimulus
308,93.35377841423167,CovertEndStimulus
309,93.35380767270624,TargetCovertVowelO
310,93.35383816220008,CovertVowelO
311,93.3538926740847,CovertStartISI
312,93.93725769241053,CovertEndISI
313,93.93733253062499,ISICovertVowelO
314,93.93738550248315,CovertStartSpeech
315,95.43745171021772,CovertEndSpeech
316,95.43751576925649,SpeechCovertVowelO
317,95.43756319702595,CovertStartITI
318,95.93699292533245,CovertEndITI
319,95.93702125879179,ITICovertVowelO
320,108.45572101785262,OvertStartFixation
321,109.40393713127821,OvertEndFixation
322,109.40401628156167,FixationOvertVoweldummy
323,109.40596176910901,OvertStartStimulus
324,110.15380346644167,OvertEndStimulus
325,110.15387553260996,TargetOvertVowelO
326,110.153904790085,OvertVowelO
327,110.15395160284322,OvertStartISI
328,110.78741946459274,OvertEndISI
329,110.78744779805209,ISIOvertVowelO
330,110.78751031706622,OvertStartSpeech
331,112.28716168107428,OvertEndSpeech
332,112.28719247857396,SpeechOvertVowelO
333,112.28724606644198,OvertStartITI
334,112.78727542447166,OvertEndITI
335,112.787357037795,ITIOvertVowelO
336,112.78789476551435,OvertStartFixation
337,113.42041991097801,OvertEndFixation
338,113.42048920510103,FixationOvertVowelO
339,113.42249597964098,OvertStartStimulus
340,114.1704488567774,OvertEndStimulus
341,114.17053324214692,TargetOvertVowelE
342,114.17056496366047,OvertVowelE
343,114.17063148673867,OvertStartISI
344,115.17053744632165,OvertEndISI
345,115.17056670479622,ISIOvertVowelE
346,115.17062737577987,OvertStartSpeech
347,116.67050848951283,OvertEndSpeech
348,116.67058332772638,SpeechOvertVowelE
349,116.67061936131165,OvertStartITI
350,117.17055601883737,OvertEndITI
351,117.17063824817058,ITIOvertVowelE
352,117.1711482574409,OvertStartFixation
353,117.87037032540218,OvertEndFixation
354,117.87039403978713,FixationOvertVowelE
355,117.87236046967143,OvertStartStimulus
356,118.62065797239654,OvertEndStimulus
357,118.62074666983506,TargetOvertVowelA
358,118.6207771593289,OvertVowelA
359,118.62083598228298,OvertStartISI
360,119.20378153680747,OvertEndISI
361,119.20385175494619,ISIOvertVowelA
362,119.20389487164618,OvertStartSpeech
363,120.70407225918268,OvertEndSpeech
364,120.70415294949078,SpeechOvertVowelA
365,120.7042074613745,OvertStartITI
366,121.20384630507294,OvertEndITI
367,121.20392052727573,ITIOvertVowelA
368,121.20443977569619,OvertStartFixation
369,121.83723316850853,OvertEndFixation
370,121.83731231879199,FixationOvertVowelA
371,121.83990486383107,OvertStartStimulus
372,122.58712568109684,OvertEndStimulus
373,122.5871986712799,TargetOvertVowelE
374,122.58722022962945,OvertVowelE
375,122.58726735039261,OvertStartISI
376,123.2037934264298,OvertEndISI
377,123.20386241254789,ISIOvertVowelE
378,123.20390706927253,OvertStartSpeech
379,124.7040317929567,OvertEndSpeech
380,124.70411525430961,SpeechOvertVowelE
381,124.70416761015792,OvertStartITI
382,125.20374177980727,OvertEndITI
383,125.20377011326661,ITIOvertVowelE
384,125.20429582879103,OvertStartFixation
385,125.98724561140614,OvertEndFixation
386,125.98731521453453,FixationOvertVowelE
387,125.98927209626515,OvertStartStimulus
388,126.7371378159886,OvertEndStimulus
389,126.73720865113671,TargetOvertVowelO
390,126.73723144150597,OvertVowelO
391,126.73727886927543,OvertStartISI
392,127.6539002933913,OvertEndISI
393,127.65397851965906,ISIOvertVowelO
394,127.65402810346302,OvertStartSpeech
395,129.153800502433,OvertEndSpeech
396,129.15387133658248,SpeechOvertVowelO
397,129.15391137323138,OvertStartITI
398,129.65385542187767,OvertEndITI
399,129.65392841306118,ITIOvertVowelO
400,129.65443349425084,OvertStartFixation
401,130.5372464931587,OvertEndFixation
402,130.53732348740675,FixationOvertVowelO
403,130.53924433655345,OvertStartStimulus
404,131.28730962551242,OvertEndStimulus
405,131.28739801394647,TargetOvertVowelI
406,131.2874346635407,OvertVowelI
407,131.28754183927765,OvertStartISI
408,132.12056335981185,OvertEndISI
409,132.12064435712443,ISIOvertVowelI
410,132.1206914778894,OvertStartSpeech
411,133.62045494471465,OvertEndSpeech
412,133.62048112313903,SpeechOvertVowelI
413,133.62053440300394,OvertStartITI
414,134.1205813153182,OvertEndITI
415,134.12065522951605,ITIOvertVowelI
416,134.1211717068917,OvertStartFixation
417,135.02045066779635,OvertEndFixation
418,135.02052150194402,FixationOvertVowelI
419,135.02058586898772,OvertStartStimulus
420,135.7706542364266,OvertEndStimulus
421,135.77073523474053,TargetOvertVowelI
422,135.770766956255,OvertVowelI
423,135.77082577920908,OvertStartISI
424,136.60381588623284,OvertEndISI
425,136.60388456534645,ISIOvertVowelI
426,136.6039282980554,OvertStartSpeech
427,138.1040182201749,OvertEndSpeech
428,138.1041013735229,SpeechOvertVowelI
429,138.1041546533869,OvertStartITI
430,138.60377009070442,OvertEndITI
431,138.60383876981894,ITIOvertVowelI
432,138.60434138696917,OvertStartFixation
433,139.37043531026382,OvertEndFixation
434,139.37050799244287,FixationOvertVowelI
435,139.37314642722401,OvertStartStimulus
436,140.1204731872084,OvertEndStimulus
437,140.12054309834264,TargetOvertVowelSilencio
438,140.12056558070697,OvertSilence
439,140.1206127004706,OvertStartISI
440,140.7704535147094,OvertEndISI
441,140.77053666905783,ISIOvertVowelSilencio
442,140.77059610802087,OvertStartSpeech
443,142.27044550024027,OvertEndSpeech
444,142.2704710626548,SpeechOvertVowelSilencio
445,142.27050955927905,OvertStartITI
446,142.77054661743375,OvertEndITI
447,142.7706273067423,ITIOvertVowelSilencio
448,142.7712124622302,OvertStartFixation
449,143.3704013111418,OvertEndFixation
450,143.37042594954153,FixationOvertVowelSilencio
451,143.37049216361527,OvertStartStimulus
452,144.1206840300573,OvertEndStimulus
453,144.1207641033551,TargetOvertVowelSilencio
454,144.12079582486956,OvertSilence
455,144.1209079286872,OvertStartISI
456,144.82050110866555,OvertEndISI
457,144.82058056695485,ISIOvertVowelSilencio
458,144.820623375649,OvertStartSpeech
459,146.32049679025738,OvertEndSpeech
460,146.320522352671,SpeechOvertVowelSilencio
461,146.32055992528046,OvertStartITI
462,146.8208017867563,OvertEndITI
463,146.8208282731856,ITIOvertVowelSilencio
464,146.82136261284984,OvertStartFixation
465,147.82045951831412,OvertEndFixation
466,147.82048353970265,FixationOvertVowelSilencio
467,147.82243980642477,OvertStartStimulus
468,148.5705870167111,OvertEndStimulus
469,148.5706692460443,TargetOvertVowelA
470,148.57070065955384,OvertVowelA
471,148.5707597915124,OvertStartISI
472,149.27048108956922,OvertEndISI
473,149.27055007668775,ISIOvertVowelA
474,149.270592577377,OvertStartSpeech
475,150.77062306053256,OvertEndSpeech
476,150.77064800593678,SpeechOvertVowelA
477,150.7706858875507,OvertStartITI
478,151.270455929376,OvertEndITI
479,151.270523376469,ITIOvertVowelA
480,151.271022605565,OvertStartFixation
481,152.05390247804542,OvertEndFixation
482,152.05398101231992,FixationOvertVowelA
483,152.0559018614657,OvertStartStimulus
484,152.80381654898326,OvertEndStimulus
485,152.80388615111212,TargetOvertVowelO
486,152.80390863347554,OvertVowelO
487,152.8039566782553,OvertStartISI
488,153.72045922344194,OvertEndISI
489,153.72052851756496,ISIOvertVowelO
490,153.7205762543398,OvertStartSpeech
491,155.22057039590607,OvertEndSpeech
492,155.22059718933986,SpeechOvertVowelO
493,155.22065170122357,OvertStartITI
494,155.7204396063388,OvertEndITI
495,155.72046824780307,ITIOvertVowelO
496,155.72095423468352,OvertStartFixation
497,156.65396401053738,OvertEndFixation
498,156.65404346782623,FixationOvertVowelO
499,156.65412446613925,OvertStartStimulus
500,157.40380909435578,OvertEndStimulus
501,157.40383434876537,TargetOvertVowelO
502,157.40385590711492,OvertVowelO
503,157.40390487490902,OvertStartISI
504,157.93713625231328,OvertEndISI
505,157.93716489377755,ISIOvertVowelO
506,157.93722525775672,OvertStartSpeech
507,159.43715287624389,OvertEndSpeech
508,159.43718274972787,SpeechOvertVowelO
509,159.4372363375968,OvertStartITI
510,159.9372937210809,OvertEndITI
511,159.93737163934463,ITIOvertVowelO
512,159.93787056143435,OvertStartFixation
513,160.720715324347,OvertEndFixation
514,160.72079139458026,FixationOvertVowelO
515,160.7229081159029,OvertStartStimulus
516,161.47052375857118,OvertEndStimulus
517,161.4705995207986,TargetOvertVowelA
518,161.4706201561338,OvertVowelA
519,161.4706669678934,OvertStartISI
520,162.10399931944528,OvertEndISI
521,162.10407107860817,ISIOvertVowelA
522,162.1041292855524,OvertStartSpeech
523,163.60382992535858,OvertEndSpeech
524,163.60390230053315,SpeechOvertVowelA
525,163.60394018114664,OvertStartITI
526,164.10386544348864,OvertEndITI
527,164.10393843367171,ITIOvertVowelA
528,164.1044459789017,OvertStartFixation
529,165.03713053148283,OvertEndFixation
530,165.0372025976502,FixationOvertVowelA
531,165.04038769029728,OvertStartStimulus
532,165.78734580330354,OvertEndStimulus
533,165.78742741762733,TargetOvertVowelSilencio
534,165.78746129417675,OvertSilence
535,165.78756816190878,OvertStartISI
536,166.43713672573347,OvertEndISI
537,166.43716136313276,ISIOvertVowelSilencio
538,166.43720632786233,OvertStartSpeech
539,167.93740804579363,OvertEndSpeech
540,167.9374942791918,SpeechOvertVowelSilencio
541,167.93754786706074,OvertStartITI
542,168.43732160494608,OvertEndITI
543,168.43735240244484,ITIOvertVowelSilencio
544,168.43795110815324,OvertStartFixation
545,169.00396411611462,OvertEndFixation
546,169.00404788547246,FixationOvertVowelSilencio
547,169.00605373699807,OvertStartStimulus
548,169.7540395666682,OvertEndStimulus
549,169.75412087298707,TargetOvertVowelE
550,169.7541532105114,OvertVowelE
551,169.75421141745562,OvertStartISI
552,170.68732867705228,OvertEndISI
553,170.68740936736037,ISIOvertVowelE
554,170.68746819031355,OvertStartSpeech
555,172.1871463477563,OvertEndSpeech
556,172.18717345019547,SpeechOvertVowelE
557,172.1872258060456,OvertStartITI
558,172.68724992898922,OvertEndITI
559,172.68733031029285,ITIOvertVowelE
560,172.6879749047456,OvertStartFixation
561,173.6206225007262,OvertEndFixation
562,173.62069703093482,FixationOvertVowelE
563,173.62275770134863,OvertStartStimulus
564,174.3705030021191,OvertEndStimulus
565,174.37057999636806,TargetOvertVowelA
566,174.37060063070192,OvertVowelA
567,174.3706480594709,OvertStartISI
568,175.37066057878098,OvertEndISI
569,175.37073849704473,ISIOvertVowelA
570,175.37079793600867,OvertStartSpeech
571,176.87052783328988,OvertEndSpeech
572,176.87055462772503,SpeechOvertVowelA
